QueryId,DocumentId
126,187
126,974
126,973
126,971
126,970
126,972
126,1326
126,969
126,942
127,101
127,983
127,164
127,944
127,981
127,982
128,985
128,990
128,945
129,984
129,986
129,985
129,990
129,988
129,945
129,989
129,987
130,12
130,859
130,858
130,1008
130,948
130,766
131,1014
131,1016
131,950
131,1017
131,1012
131,1018
131,1020
131,1019
131,1013
132,1014
132,1016
132,1023
132,950
132,1017
132,1015
132,1025
132,1026
132,1012
132,1018
132,951
132,1024
132,1020
132,1019
132,952
132,1013
133,1016
133,950
133,1022
133,1012
133,1018
133,1024
133,1020
133,1019
134,1027
134,1028
134,951
135,1016
135,1023
135,950
135,1017
135,1025
135,1026
135,1018
135,951
135,1024
136,1022
136,1021
136,951
136,1034
137,1029
137,1021
137,951
137,1034
137,952
138,846
138,1036
138,953
139,953
139,1035
139,1032
139,1037
139,1031
140,1044
140,1041
140,954
140,1042
140,1039
140,1038
140,1043
141,1044
141,1041
141,954
141,1042
141,1039
141,1038
141,1043
142,954
142,1042
143,1044
143,954
143,1043
144,1045
144,838
144,840
144,841
144,955
144,839
144,763
145,1045
145,838
145,841
145,955
145,839
145,743
145,763
145,852
146,1045
146,840
146,955
147,889
147,926
147,843
147,1046
147,1051
147,1050
147,1049
147,1048
147,956
147,822
147,1047
148,889
148,843
148,1046
148,1050
148,1049
148,1048
148,956
149,931
149,934
149,1052
149,1131
149,930
149,957
149,1058
149,1059
149,938
149,937
149,936
149,1057
150,1062
150,1074
150,1075
151,1062
151,1077
151,1074
151,1076
151,1075
151,687
152,655
152,1062
152,1077
152,572
152,1076
152,687
152,569
153,1083
153,1085
153,1078
153,1081
153,1084
153,1082
153,1080
153,1063
154,1088
154,1087
154,1063
155,1104
155,1101
155,1103
155,1099
155,983
155,1100
155,1065
156,1104
156,1102
156,1101
156,1103
156,1098
156,1096
156,1099
156,1097
156,983
156,82
156,1100
156,553
156,982
156,1065
156,274
157,557
157,655
157,19
157,1355
157,689
157,160
157,25
157,666
157,354
157,421
157,273
157,605
157,626
157,657
157,161
157,1011
157,35
157,1106
157,302
157,1107
157,1105
157,482
157,456
157,372
157,423
157,572
157,44
157,410
157,1151
157,1307
157,318
157,556
157,1006
157,215
157,370
157,36
157,93
157,369
157,1304
157,122
158,273
158,998
158,1011
158,302
158,1009
158,1010
158,556
158,1006
158,552
159,1111
159,1115
159,1114
159,234
159,231
159,1108
159,1110
159,1112
159,1066
160,1135
160,1138
160,1137
160,1134
160,1071
160,1136
161,336
161,489
161,996
161,55
161,562
161,1386
161,54
162,489
162,461
162,562
162,460
162,155
162,459
162,458
162,111
162,54
163,20
163,56
163,57
163,492
164,1367
164,311
164,798
164,503
164,335
164,1364
164,316
164,415
164,416
165,504
165,71
165,72
166,418
166,207
166,41
166,40
166,504
166,74
166,272
166,1264
166,170
167,509
167,82
167,274
168,774
168,217
168,750
169,775
169,774
169,118
169,750
169,157
170,238
170,672
170,893
170,139
170,906
170,239
170,904
171,141
171,431
171,252
171,516
172,320
172,476
172,321
172,527
172,322
173,532
173,451
173,367
174,58
174,411
174,482
174,423
174,36
174,533
175,964
175,965
175,967
175,351
175,966
175,941
176,582
176,583
176,585
176,586
176,982
176,542
176,584
176,978
177,590
177,772
177,592
177,589
177,588
177,543
178,590
178,589
178,588
178,591
178,543
179,681
179,680
179,683
179,682
179,633
180,619
180,621
180,616
180,617
180,620
180,1150
180,622
180,548
181,974
181,409
181,973
181,997
181,1061
181,942
182,686
182,634
182,685
183,804
183,810
183,805
183,807
183,806
183,1243
183,809
183,253
183,1247
183,803
183,802
183,811
183,808
183,758
184,1379
184,715
184,716
184,717
184,67
184,32
184,639
184,499
185,857
185,15
185,285
185,859
185,856
185,858
185,1008
185,948
185,894
185,766
186,1379
186,421
186,1062
186,161
186,1074
186,1378
